no,date,open,high,low,close,volume
449,2015-10-16,255.83,268.34,255,264.71,12913.738
450,2015-10-17,264.71,278.79,263.77,273.74,16750.11
451,2015-10-18,273.74,275.63,260.37,264.56,9381.489
452,2015-10-19,264.56,268.06,262.67,265.74,10056.11
453,2015-10-20,265.76,272.71,264.87,270.84,9903.422
454,2015-10-21,270.85,272.49,264,267.98,8496.452
455,2015-10-22,267.98,280.62,267.45,275.59,11702.862
456,2015-10-23,275.59,281.15,275.01,279.03,10390.256
457,2015-10-24,279.03,284.9,278.98,283.98,8171.676
458,2015-10-25,283.99,298,282.99,283.71,16581.945
459,2015-10-26,283.98,287.31,280.84,287.1,12220.634
460,2015-10-27,287.1,298.78,286.7,295.46,13631.389
461,2015-10-28,295.29,309.08,295.13,306.34,13923.224
462,2015-10-29,306.34,320.93,303.08,317.52,18141.485
463,2015-10-30,317.54,344.95,314.35,328.71,10995.822
464,2015-10-31,328.41,339,307.48,316.16,4240.884
465,2015-11-01,316.16,332.56,313.79,329.99,5857.626
466,2015-11-02,330.06,372.34,325.92,365.3,47080.234
467,2015-11-03,365.2,420.42,358.67,411.48,81126.705
